episode_id,success,spl,shortest_path_length,path_length,num_pred_steps
val_ep_00000,1,1.0,9,8,10
val_ep_00001,1,1.0,6,6,7
val_ep_00002,1,1.0,9,8,10
val_ep_00003,1,1.0,5,4,6
val_ep_00004,1,1.0,4,3,5
val_ep_00005,1,1.0,9,8,10
val_ep_00006,1,1.0,8,8,9
val_ep_00007,1,1.0,8,8,9
val_ep_00008,1,1.0,8,7,9
val_ep_00009,1,1.0,3,3,4
val_ep_00010,1,1.0,6,5,7
val_ep_00011,1,1.0,8,7,9
val_ep_00012,1,1.0,2,2,3
val_ep_00013,1,1.0,6,5,7
val_ep_00014,1,1.0,4,3,5
val_ep_00015,1,1.0,7,6,8
val_ep_00016,1,1.0,6,5,7
val_ep_00017,1,1.0,5,4,6
val_ep_00018,1,1.0,3,2,4
val_ep_00019,1,1.0,2,2,3
val_ep_00020,1,1.0,5,5,6
val_ep_00021,1,1.0,4,4,5
val_ep_00022,1,1.0,5,5,6
val_ep_00023,1,1.0,7,6,8
val_ep_00024,1,1.0,5,5,6
val_ep_00025,1,1.0,5,4,6
val_ep_00026,1,1.0,3,2,4
val_ep_00027,1,1.0,3,2,4
val_ep_00028,1,1.0,9,8,10
val_ep_00029,1,1.0,9,8,10
val_ep_00030,1,1.0,5,5,6
val_ep_00031,1,1.0,5,5,6
val_ep_00032,1,1.0,5,4,6
val_ep_00033,1,1.0,8,8,9
val_ep_00034,1,1.0,6,5,7
val_ep_00035,1,1.0,6,5,7
val_ep_00036,1,1.0,3,2,4
val_ep_00037,1,1.0,4,3,5
val_ep_00038,1,1.0,3,3,4
val_ep_00039,1,1.0,3,3,4
val_ep_00040,1,1.0,6,5,7
val_ep_00041,1,1.0,4,3,5
val_ep_00042,1,1.0,9,8,10
val_ep_00043,1,1.0,6,5,7
val_ep_00044,1,1.0,5,4,6
val_ep_00045,1,1.0,6,6,7
val_ep_00046,1,1.0,4,3,5
val_ep_00047,1,1.0,2,2,3
val_ep_00048,1,1.0,8,7,9
val_ep_00049,1,1.0,6,6,7
